environment | time (s),RAF | RAF_star (nm)
397,0.218503
398,0.216559
399,0.214633
400,0.212725
401,0.210834
402,0.208961
403,0.207105
404,0.205266
405,0.203444
406,0.201639
407,0.199851
408,0.198079
409,0.196323
410,0.194584
411,0.19286
412,0.191153
413,0.189461
414,0.187785
415,0.186125
416,0.184479
417,0.182849
418,0.181234
419,0.179634
420,0.178049
421,0.176478
422,0.174922
423,0.17338
424,0.171853
425,0.170339
426,0.16884
427,0.167354
428,0.165882
429,0.164424
430,0.162979
431,0.161547
432,0.160129
433,0.158724
434,0.157332
435,0.155952
436,0.154586
437,0.153232
438,0.15189
439,0.150561
440,0.149244
441,0.14794
442,0.146647
443,0.145366
444,0.144097
445,0.14284
446,0.141595
447,0.140361
448,0.139138
449,0.137927
450,0.136726
451,0.135537
452,0.134359
453,0.133192
454,0.132035
455,0.130889
456,0.129754
457,0.128629
458,0.127515
459,0.12641
460,0.125316
461,0.124232
462,0.123158
463,0.122094
464,0.12104
465,0.119996
466,0.118961
467,0.117935
468,0.116919
469,0.115913
470,0.114915
471,0.113927
472,0.112948
473,0.111978
474,0.111017
475,0.110064
476,0.109121
477,0.108186
478,0.10726
479,0.106342
480,0.105432
481,0.104531
482,0.103638
483,0.102754
484,0.101877
485,0.101009
486,0.100149
487,0.099296
488,0.0984512
489,0.0976142
490,0.0967848
491,0.0959631
492,0.0951488
493,0.094342
494,0.0935426
495,0.0927506
496,0.0919657
497,0.0911881
498,0.0904175
499,0.089654
500,0.0888974
501,0.0881478
502,0.087405
503,0.086669
504,0.0859397
505,0.0852171
506,0.0845011
507,0.0837916
508,0.0830885
509,0.0823919
510,0.0817016
511,0.0810176
512,0.0803398
513,0.0796682
514,0.0790026
515,0.0783432
516,0.0776897
517,0.0770422
518,0.0764006
519,0.0757648
520,0.0751347
521,0.0745104
522,0.0738918
523,0.0732787
524,0.0726712
525,0.0720693
526,0.0714727
527,0.0708816
528,0.0702958
529,0.0697154
530,0.0691402
531,0.0685701
532,0.0680053
533,0.0674455
534,0.0668908
535,0.0663411
536,0.0657964
537,0.0652565
538,0.0647216
539,0.0641915
540,0.0636661
541,0.0631455
542,0.0626296
543,0.0621183
544,0.0616116
545,0.0611095
546,0.0606119
547,0.0601188
548,0.0596301
549,0.0591458
550,0.0586658
551,0.0581901
552,0.0577187
553,0.0572515
554,0.0567885
555,0.0563296
556,0.0558749
557,0.0554242
558,0.0549775
559,0.0545349
560,0.0540962
561,0.0536614
562,0.0532304
563,0.0528034
564,0.0523801
565,0.0519606
566,0.0515449
567,0.0511328
568,0.0507244
569,0.0503197
570,0.0499185
571,0.049521
572,0.0491269
573,0.0487364
574,0.0483493
575,0.0479656
576,0.0475854
577,0.0472085
578,0.046835
579,0.0464648
580,0.0460978
581,0.0457341
582,0.0453737
583,0.0450164
584,0.0446622
585,0.0443112
586,0.0439633
587,0.0436185
588,0.0432767
589,0.0429379
590,0.0426021
591,0.0422692
592,0.0419393
593,0.0416123
594,0.0412882
595,0.0409669
596,0.0406484
597,0.0403327
598,0.0400198
599,0.0397097
600,0.0394022
601,0.0390975
602,0.0387954
603,0.0384959
604,0.0381991
605,0.0379049
606,0.0376133
607,0.0373242
608,0.0370376
609,0.0367535
610,0.0364719
611,0.0361927
612,0.035916
613,0.0356417
614,0.0353698
615,0.0351002
616,0.034833
617,0.0345681
618,0.0343055
619,0.0340452
620,0.0337871
621,0.0335313
622,0.0332777
623,0.0330263
624,0.032777
625,0.03253
626,0.032285
627,0.0320422
628,0.0318015
629,0.0315628
630,0.0313262
631,0.0310917
632,0.0308592
633,0.0306286
634,0.0304001
635,0.0301735
636,0.0299489
637,0.0297262
638,0.0295054
639,0.0292865
640,0.0290695
641,0.0288544
642,0.0286411
643,0.0284296
644,0.0282199
645,0.0280121
646,0.027806
647,0.0276016
648,0.027399
