environment | time (s),RAF | RAF_star (nm)
1715,0.00247331
1716,0.00247332
1717,0.00247333
1718,0.00247334
1719,0.00247336
1720,0.00247337
1721,0.00247339
1722,0.0024734
1723,0.00247342
1724,0.00247343
1725,0.00247345
1726,0.00247347
1727,0.00247349
1728,0.0024735
1729,0.00247352
1730,0.00247354
1731,0.00247356
1732,0.00247358
1733,0.0024736
1734,0.00247362
1735,0.00247365
1736,0.00247367
1737,0.00247369
1738,0.00247371
1739,0.00247374
1740,0.00247376
1741,0.00247379
1742,0.00247381
1743,0.00247384
1744,0.00247386
1745,0.00247389
1746,0.00247392
1747,0.00247394
1748,0.00247397
1749,0.002474
1750,0.00247403
1751,0.00247406
1752,0.00247409
1753,0.00247412
1754,0.00247415
1755,0.00247418
1756,0.00247421
1757,0.00247424
1758,0.00247427
1759,0.0024743
1760,0.00247434
1761,0.00247437
1762,0.0024744
1763,0.00247444
1764,0.00247447
1765,0.00247451
1766,0.00247454
1767,0.00247458
1768,0.00247461
1769,0.00247465
1770,0.00247468
1771,0.00247472
1772,0.00247476
1773,0.0024748
1774,0.00247483
1775,0.00247487
1776,0.00247491
1777,0.00247495
1778,0.00247499
1779,0.00247503
1780,0.00247507
1781,0.00247511
1782,0.00247515
1783,0.00247519
1784,0.00247523
1785,0.00247528
1786,0.00247532
1787,0.00247536
1788,0.0024754
1789,0.00247545
1790,0.00247549
1791,0.00247553
1792,0.00247558
1793,0.00247562
1794,0.00247567
1795,0.00247571
1796,0.00247576
1797,0.0024758
1798,0.00247585
1799,0.00247589
1800,0.00247594
